aktuelBasinc,denizSicaklik,denizeIndirgenmisBasinc,gorus,hadiseKodu,istNo,kapalilik,karYukseklik,nem,rasatMetar,rasatSinoptik,rasatTaf,ruzgarHiz,ruzgarYon,sicaklik,veriZamani,yagis00Now,yagis10Dk,yagis12Saat,yagis1Saat,yagis24Saat,yagis6Saat,denizVeriZamani
1006.7,-9999,1010.4,22140,A,17020,-9999,-9999,100,-9999,-9999,-9999,0,0,23.2,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
995.9,-9999,1011.2,-9999,A,17022,-9999,-9999,80,-9999,-9999,-9999,6.84,161,23.8,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1006.4,25.4,1010,23430,CB,17026,-9999,-9999,87,-9999,-9999,-9999,8.28,313,26.4,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1009,25.7,1009.4,20000,PB,17030,3,-9999,74,-9999,-9999,-9999,6.84,265,25.6,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1008.9,24.9,1009.4,30000,CB,17033,-9999,-9999,70,-9999,-9999,-9999,1.8,134,25.2,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1006.2,25.8,1010.5,20000,A,17034,0,-9999,81,-9999,-9999,-9999,0,0,25.2,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1006.3,-9999,1009.1,-9999,CB,17037,-9999,-9999,87,-9999,-9999,-9999,0,0,25.3,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T22:58:00.000Z
1008.9,24.5,1009.2,36260,CB,17040,-9999,-9999,83,-9999,-9999,-9999,0,0,25.6,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
940.2,-9999,1007.8,39530,CB,17045,-9999,-9999,80,-9999,-9999,-9999,0,0,21.2,2024-07-17T22:58:00.000Z,8.4,0,8.4,0,8.4,0,2024-07-17T06:00:00.000Z
819.7,-9999,1009.6,47660,CB,17046,-9999,-9999,79,-9999,-9999,-9999,4.680000000000001,92,15.8,2024-07-17T22:57:00.000Z,2.8,0,2.8,0,2.8,0,2024-07-17T06:00:00.000Z
1007.4,-9999,1013,14890,AB,17050,-9999,-9999,40,-9999,-9999,-9999,3.6,25,28.4,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
986,-9999,1011.5,-9999,A,17052,-9999,-9999,39,-9999,-9999,-9999,6.12,15,27,2024-07-17T22:56:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1011.4,25.5,1011.8,37110,A,17056,-9999,-9999,58,-9999,-9999,-9999,3.6,204,26.2,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1007.9,-9999,1011.8,10000,A,17060,0,-9999,76,LTBA 172250Z 03007KT 350V050 CAVOK 27/23 Q1011 RMK RWY23 32003KT 280V020 =,-9999,-9999,12.964,30,27.4,2024-07-17T22:50:00.000Z,-9999,-9999,-9999,-9999,-9999,-9999,2024-07-17T06:00:00.000Z
