aktuelBasinc,denizSicaklik,denizeIndirgenmisBasinc,gorus,hadiseKodu,istNo,kapalilik,karYukseklik,nem,rasatMetar,rasatSinoptik,rasatTaf,ruzgarHiz,ruzgarYon,sicaklik,veriZamani,yagis00Now,yagis10Dk,yagis12Saat,yagis1Saat,yagis24Saat,yagis6Saat,denizVeriZamani
1006.6,-9999,1010.3,21140,A,17020,-9999,-9999,100,-9999,-9999,-9999,0,0,23.2,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
996,-9999,1011.3,-9999,A,17022,-9999,-9999,80,-9999,-9999,-9999,6.48,151,23.9,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1006.5,25.4,1010.1,24920,CB,17026,-9999,-9999,88,-9999,-9999,-9999,10.08,301,26.4,2024-07-17T22:49:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1009,25.7,1009.4,20000,PB,17030,3,-9999,75,-9999,-9999,-9999,3.9600000000000004,269,25.7,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1008.8,24.9,1009.3,29260,CB,17033,-9999,-9999,73,-9999,-9999,-9999,2.8800000000000003,160,24.8,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1006.2,25.8,1010.5,20000,A,17034,0,-9999,81,-9999,-9999,-9999,2.52,248,25.1,2024-07-17T22:49:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1006.4,-9999,1009.2,-9999,CB,17037,-9999,-9999,86,-9999,-9999,-9999,0,0,25.3,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T22:48:00.000Z
1009,24.5,1009.3,35140,CB,17040,-9999,-9999,85,-9999,-9999,-9999,0,0,25.4,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
940.2,-9999,1007.7,32650,CB,17045,-9999,-9999,79,-9999,-9999,-9999,3.9600000000000004,282,21.4,2024-07-17T22:48:00.000Z,8.4,0,8.4,0,8.4,0,2024-07-17T06:00:00.000Z
819.8,-9999,1009.1,45460,CB,17046,-9999,-9999,80,-9999,-9999,-9999,2.8800000000000003,114,15.8,2024-07-17T22:48:00.000Z,2.8,0,2.8,0,2.8,0,2024-07-17T06:00:00.000Z
